TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Leather Anatomical Heart Coffee Sleeve","Protect your fingers in style with this celtic knot leather coffee sleeve. Fits most commercial take-out coffee cups. Vegetable tanned leather dyed Bordeaux with double capped antique brass rivet closures.",20,CAD,18,"Kitchen,Accessories,Cup_Holder,Gifts,Gifts_for_Men,Gifts_for_Teacher,Leather,Reusable,Celtic_knot,Coffee_sleeve,Home_and_Dining,Celtic,Custom",,https://i.etsystatic.com/19409017/r/il/8b7317/1834657992/il_fullxfull.1834657992_4eaz.jpg,https://i.etsystatic.com/19409017/r/il/0a086f/1792015312/il_fullxfull.1792015312_lzih.jpg,https://i.etsystatic.com/19409017/r/il/c1c85a/1834657954/il_fullxfull.1834657954_a0zw.jpg,,,,,,,,,,,,,,
"Personalized Leather Journal Cover","4x6 moleskine with handprints and text per attached messages",52,CAD,1,,,https://i.etsystatic.com/19409017/r/il/6bb687/2905513587/il_fullxfull.2905513587_fc4d.jpg,,,,,,,,,,,,,,,,
"D20 Leather Bookmark with Custom Text","Hand-dyed black 3oz Veg-tanned leather bookmark with a D20 on the top. It is 16 cm long and 3.5 cm wide. You can engrave a name or text on the bookmark.",25,CAD,22,"dungeons_and_dragons,DnD,dice,D20,new_moon_Technocraft,custom_bookmark,books,book_accessories,leather_book_mark,leather_bookmark,bookmark,gifts,personalize_gift",,https://i.etsystatic.com/19409017/r/il/4c9a6f/2994197933/il_fullxfull.2994197933_1qc5.jpg,https://i.etsystatic.com/19409017/r/il/ca2528/2994185533/il_fullxfull.2994185533_lp0e.jpg,https://i.etsystatic.com/19409017/r/il/34c53c/2946489822/il_fullxfull.2946489822_rnh2.jpg,https://i.etsystatic.com/19409017/r/il/c41336/2994185907/il_fullxfull.2994185907_ezyy.jpg,https://i.etsystatic.com/19409017/r/il/150806/2994185913/il_fullxfull.2994185913_eknj.jpg,,,,,,,,,,,,
"Custom Christmas Ornament Leather Name Celtic Knot Ornament","A beautifully hand-dyed 4oz Veg-tanned Leather Christmas Ornament engraved with the name of your loved one. The dye colours are Gold and Bordeaux. It is 9.5 cm tall and 7.5 cm wide.",23,CAD,92,"personalized,christmas_ornament,custom_ornament,name_ornament,custom_christmas,leather_ornament,celtic_knot_ornament,leather_celtic_knot,leather_tree_decor,personalized_decor,baby_name_ornament,child_name_ornament,keepsake_ornament",,https://i.etsystatic.com/19409017/r/il/29438e/3343088820/il_fullxfull.3343088820_sow7.jpg,https://i.etsystatic.com/19409017/r/il/446030/2634262946/il_fullxfull.2634262946_rlth.jpg,https://i.etsystatic.com/19409017/r/il/40513b/2634263526/il_fullxfull.2634263526_n2kt.jpg,https://i.etsystatic.com/19409017/r/il/9e3283/2681925821/il_fullxfull.2681925821_h7o7.jpg,https://i.etsystatic.com/19409017/r/il/a787db/2681926351/il_fullxfull.2681926351_9qad.jpg,https://i.etsystatic.com/19409017/r/il/025a6b/3390783025/il_fullxfull.3390783025_gm8v.jpg,,,,,,,,,,,
"Customizable Luna Moth Leather Bookmark","Hand-dyed 3oz Veg-tanned Leather Luna Moth bookmark. The dye colours are Gold and Bordeaux. It is 14.5 cm long and 3 cm wide.",25,CAD,47,"new_moon_technocraft,Luna_moth,moth,personalized,customized_bookmark,Nature_bookmark,accessories,books,book_accessories,leather_book_mark,leather_bookmark,bookmark,gifts",,https://i.etsystatic.com/19409017/r/il/efdcec/2985573268/il_fullxfull.2985573268_seac.jpg,https://i.etsystatic.com/19409017/r/il/3fa0bb/2985573250/il_fullxfull.2985573250_s3g9.jpg,https://i.etsystatic.com/19409017/r/il/d037ab/3033291201/il_fullxfull.3033291201_261d.jpg,https://i.etsystatic.com/19409017/r/il/289dac/2985573374/il_fullxfull.2985573374_b6rt.jpg,https://i.etsystatic.com/19409017/r/il/86a9fb/3033291217/il_fullxfull.3033291217_f4ee.jpg,https://i.etsystatic.com/19409017/r/il/fc61e6/2985573430/il_fullxfull.2985573430_bmn1.jpg,https://i.etsystatic.com/19409017/r/il/990d0a/3033291307/il_fullxfull.3033291307_rly5.jpg,https://i.etsystatic.com/19409017/r/il/ccf12c/3033291327/il_fullxfull.3033291327_5mhn.jpg,,,,,,,,,
"Customizable Unicorn  Leather Bookmark","Hand-dyed 3oz Veg-tanned Leather Unicorn bookmark. The dye colours are Gold and Bordeaux. It is 14.5 cm long and 3 cm wide.",25,CAD,42,"fantasy_bookmark,unicorn_bookmark,unicorn,personalized,customized_bookmark,Nature_bookmark,accessories,books,book_accessories,leather_book_mark,leather_bookmark,bookmark,gifts",,https://i.etsystatic.com/19409017/r/il/8de9cb/2448097505/il_fullxfull.2448097505_cdrb.jpg,https://i.etsystatic.com/19409017/r/il/31a61f/2400465842/il_fullxfull.2400465842_d5xq.jpg,https://i.etsystatic.com/19409017/r/il/6ee984/2448097651/il_fullxfull.2448097651_tjq7.jpg,,,,,,,,,,,,,,
"Family recipe cutting board, Grandma's Handwritten Recipe cutting board, custom cutting board, Mom's handwriting cutting board","Laser engraved bamboo cutting board to preserve your special family recipe. Available in 3 sizes: 11 inch x 14 inch (27.9 cm x 35.5 cm), 8 inch x 10 inch (20.3 cm x 13.9 cm), 8 inch x 5.5 inch (20.3 cm x 13.9 cm). 

When sending your recipe for engraving PLEASE SCAN the recipe - the engraved result will be so much better!

I recommend this board for decorative use and not every day kitchen use. Absolutely do not put them in the dishwasher!",45,CAD,48,"engraved_recipe,moms_recipe,grandmas_recipe,recipe_cutting_board,family_heirloom,engraved,keepsake,bamboo_cutting_board,personalized_gift,custom_cutting_board,Gifts,Home_and_Dining,personalize_gift",Wood,https://i.etsystatic.com/19409017/r/il/a2d0cd/2017482687/il_fullxfull.2017482687_oafi.jpg,https://i.etsystatic.com/19409017/r/il/5b4947/2508062879/il_fullxfull.2508062879_4tx1.jpg,https://i.etsystatic.com/19409017/r/il/9c934b/2460396622/il_fullxfull.2460396622_jcfy.jpg,https://i.etsystatic.com/19409017/r/il/ad24a9/2017482525/il_fullxfull.2017482525_eqfp.jpg,https://i.etsystatic.com/19409017/r/il/ca5d6b/2460397068/il_fullxfull.2460397068_p4to.jpg,https://i.etsystatic.com/19409017/r/il/9e87a3/1969930318/il_fullxfull.1969930318_n0zj.jpg,https://i.etsystatic.com/19409017/r/il/a06165/2017482751/il_fullxfull.2017482751_qzcq.jpg,,,,Dimensions,Dimensions,"8 x 5.5,8 x 10,11 x 14",,,,"ZOvN4ONzyoar6mRj,q0wZpObz23LbdLzyj,P33ZLq4Y7XwXQDVx"
"Customizable Tulip Leather Bookmark","Hand-dyed, hand painted 3oz Veg-tanned Leather Tulip bookmark. The dye colour is Bordeaux. The paint is mixed pinks and greens. It is 15.5 cm long and 3 cm wide.",25,CAD,40,"tulip_bookmark,tulip,flower,personalized,customized_bookmark,Nature_bookmark,accessories,books,book_accessories,leather_book_mark,leather_bookmark,bookmark,gifts",,https://i.etsystatic.com/19409017/r/il/f96226/2948945349/il_fullxfull.2948945349_qz20.jpg,https://i.etsystatic.com/19409017/r/il/f379ba/2948896657/il_fullxfull.2948896657_r13t.jpg,https://i.etsystatic.com/19409017/r/il/0594e9/2948940363/il_fullxfull.2948940363_koka.jpg,https://i.etsystatic.com/19409017/r/il/1471ff/2948896543/il_fullxfull.2948896543_kfr1.jpg,https://i.etsystatic.com/19409017/r/il/dad4cc/2948896629/il_fullxfull.2948896629_bdty.jpg,https://i.etsystatic.com/19409017/r/il/1c84a9/2948896771/il_fullxfull.2948896771_vd62.jpg,,,,,,,,,,,
"Custom Dog Hair Accessories Leather Bow","Custom hair accessories for your adorable fluffy friend! Select the colour that you would like and provide the text for the crown.",17,CAD,460,"custom_dog_bow,shih_tzu_bow,yorkie_bow,leather_dog_bow,dog_accessories,dog_hair_bow,leather_dog_hair_bow,puppy_bow,maltese_bow,pet_bow,pet_hair_accessories,custom_pet_bow,cute_dog_bow",,https://i.etsystatic.com/19409017/r/il/4d7f97/1818404965/il_fullxfull.1818404965_2ups.jpg,https://i.etsystatic.com/19409017/r/il/f5b1cc/1770949740/il_fullxfull.1770949740_t0vh.jpg,,,,,,,,,Colour,"Primary colour","Blue,Brown,Gold,Green,Pink,Purple,Red,Silver,Black,Grey",,,,"W6O1DNZQP7gW0rLE,2bgoQVn13YXl7J2y,qwqRwn1WMQd5PD4W,Y3X9Mm75y8ydbyXr,5y1zMvr6by3E0Q3q,YWQqAVo1aExdkWJX,YrQ2bb8DrVNYnkOr,ag79ROEg5aM0wP7z,8l4LbpERvk8n6j5Do,qyvVvo9E42dDl9Dp"
"Customizable Celtic Knot Monogram Leather Bookmark","Hand-dyed 3oz Veg-tanned Leather  Celtic Knot with Initial bookmark. The dye colour
 is Bordeaux. It is 18.5 cm long and 3.5 cm wide.",25,CAD,715,"celtic_knot,initial_bookmark,monogram_bookmark,viking,custom_bookmark,personalized,customized_bookmark,books,book_accessories,leather_book_mark,leather_bookmark,bookmark,personalize_gift",,https://i.etsystatic.com/19409017/r/il/ede868/2763908940/il_fullxfull.2763908940_s8lg.jpg,https://i.etsystatic.com/19409017/r/il/253861/2811597327/il_fullxfull.2811597327_br1m.jpg,https://i.etsystatic.com/19409017/r/il/523e9a/2763908880/il_fullxfull.2763908880_jnbz.jpg,https://i.etsystatic.com/19409017/r/il/6b1e3e/2763909030/il_fullxfull.2763909030_azf6.jpg,,,,,,,"Custom Property",Initial,"A,Z,Y,X,W,V,U,Q,P,O,N,K,I,H,G,D,C,B,R,J,F,T,E,S,M,L",,,,"ZXbbrz6wQ1g71Lj5o,yJMW6jxvWv4k9gqO,ApnaQkpr1MX7RLoZ,0w0vDgJPxjwE6922d,kXYkdQbjX3AVn80O,pLojEOvrd3xjLJDP,mylnvq7oXazjVjQO,k1XW0Dm8mRAOV2lr8,z5O79XqXpY3xaPVX,aDy04q3Ao30dlPag,DWpWxQxq3bQ0JbDY,J7ZknZ8AnZOl31b77,EZZRxM232NpZmW57,zO1mgQZ0xyxm4A3d,pE6Xp9X6gn20l4Va5,Zj5JoQVrxWx0JLE0,WMM1a0pbWm80mVy5,9bzJM93D8zZ2kbEv,ndoLNDm01R0bZ4Y0,2nQojqp8P0q4NQWl,MP3o4WXPRQ05274M1,blaRl3a5b6RQmJ5o,7q6wx1O0MXypqDjE,ZE63ng8dRArza8JL,ygj5bql2mgZ3q12o,EAkjpAjqpXQrb566"
"The Overlook Hotel Leather Replica Key Fob","Hand dyed, hand stitched leather key ring. Laser etched Camp Crystal Lake Information. Personalization available on the back. Hand dyed vegetable tanned leather in bordeaux with black waxed thread stitching.",25,CAD,38,"heres_Johnny,new_moon_Technocraft,the_shining,overlook_hotel,custom_leather,leather_keychain,horror,classic_horror,key_fob,key_ring,gifts,accessories_for_men,accessories_women",,https://i.etsystatic.com/19409017/r/il/804fbc/3001121403/il_fullxfull.3001121403_6mdr.jpg,https://i.etsystatic.com/19409017/r/il/b164c6/2326440590/il_fullxfull.2326440590_pmvy.jpg,https://i.etsystatic.com/19409017/r/il/2c07bd/2953192866/il_fullxfull.2953192866_1u6q.jpg,https://i.etsystatic.com/19409017/r/il/a22cda/2374027355/il_fullxfull.2374027355_hov3.jpg,https://i.etsystatic.com/19409017/r/il/81de24/2326440438/il_fullxfull.2326440438_mqyw.jpg,https://i.etsystatic.com/19409017/r/il/ccea9d/2953192886/il_fullxfull.2953192886_lva0.jpg,https://i.etsystatic.com/19409017/r/il/d5bfd0/3000909179/il_fullxfull.3000909179_bur2.jpg,https://i.etsystatic.com/19409017/r/il/573c69/2953213916/il_fullxfull.2953213916_svlm.jpg,https://i.etsystatic.com/19409017/r/il/a7349b/3000899891/il_fullxfull.3000899891_g6wu.jpg,,,,,,,,
"Horse Personalized Leather Bookmark","Hand-dyed 3oz Veg-tanned Leather horse bookmark. The dye colours are Gold and Bordeaux. It is 16 cm long and 4 cm wide.",25,CAD,6,"personalized_horse,sticking_stuffers,horse_bookmark,personalized,customized_bookmark,Nature_bookmark,accessories,books,book_accessories,leather_book_mark,leather_bookmark,bookmark,gifts",,https://i.etsystatic.com/19409017/r/il/d186c9/3508535455/il_fullxfull.3508535455_7s7y.jpg,https://i.etsystatic.com/19409017/r/il/947b92/3508532959/il_fullxfull.3508532959_74wr.jpg,https://i.etsystatic.com/19409017/r/il/271e63/3508532933/il_fullxfull.3508532933_77h4.jpg,https://i.etsystatic.com/19409017/r/il/33f8a2/3460869198/il_fullxfull.3460869198_maa3.jpg,https://i.etsystatic.com/19409017/r/il/59fa20/3508533197/il_fullxfull.3508533197_qi1f.jpg,https://i.etsystatic.com/19409017/r/il/7f7524/3508533203/il_fullxfull.3508533203_jvko.jpg,https://i.etsystatic.com/19409017/r/il/db5224/3508533327/il_fullxfull.3508533327_fsaq.jpg,https://i.etsystatic.com/19409017/r/il/700806/3508533377/il_fullxfull.3508533377_3p6n.jpg,,,,,,,,,
"Sunset Wolf Personalized Leather Bookmark","Hand-dyed 3oz Veg-tanned Leather Wolf with sunset  bookmark. The dye colour is Bordeaux. It is 14.5 cm long and 3 cm wide.",28,CAD,16,"wolf_bookmark,wolf_moon,personalized_gift,sunset,accessories,books,book_accessories,leather_book_mark,leather_bookmark,Viking_bookmark,celtic_knot,bookmark",,https://i.etsystatic.com/19409017/r/il/a1db86/2873034579/il_fullxfull.2873034579_1aoq.jpg,https://i.etsystatic.com/19409017/r/il/0af27c/2873026143/il_fullxfull.2873026143_3u9j.jpg,https://i.etsystatic.com/19409017/r/il/9cdc1c/2825364510/il_fullxfull.2825364510_mihv.jpg,https://i.etsystatic.com/19409017/r/il/6e4ee5/2825364620/il_fullxfull.2825364620_9kqt.jpg,https://i.etsystatic.com/19409017/r/il/70d535/2825364678/il_fullxfull.2825364678_evef.jpg,https://i.etsystatic.com/19409017/r/il/b5f179/2825364766/il_fullxfull.2825364766_m30f.jpg,https://i.etsystatic.com/19409017/r/il/d4f025/2825364768/il_fullxfull.2825364768_ov3b.jpg,https://i.etsystatic.com/19409017/r/il/0e3cc2/2873026367/il_fullxfull.2873026367_1orh.jpg,,,,,,,,,
"Customizable Leather Journal Cover","Hand dyed, hand stitched leather notebook cover. Three sizes available- composition book, regular or pocket Moleskin size. Your choice of graphics and/or text on the front. Vegetable tanned leather hand your choice of colour with waxed black stitching.",62,CAD,1147,"personalized_journal,custom_bullet,leather_journal,leather_book_cover,stationary,planner,diary,bullet_journal,moleskin_cover,personalize_gift,morning_routine,valentines_gift,leather_gift",,https://i.etsystatic.com/19409017/r/il/439c58/2577146536/il_fullxfull.2577146536_7b7k.jpg,https://i.etsystatic.com/19409017/r/il/2144f0/2624801117/il_fullxfull.2624801117_i3ql.jpg,https://i.etsystatic.com/19409017/r/il/39d658/2577145744/il_fullxfull.2577145744_pl2k.jpg,https://i.etsystatic.com/19409017/r/il/b88add/2624801369/il_fullxfull.2624801369_bjv6.jpg,https://i.etsystatic.com/19409017/r/il/0febde/2624801871/il_fullxfull.2624801871_l0fz.jpg,https://i.etsystatic.com/19409017/r/il/97398c/2624802157/il_fullxfull.2624802157_d46c.jpg,https://i.etsystatic.com/19409017/r/il/ccef2b/2624802637/il_fullxfull.2624802637_e1qj.jpg,https://i.etsystatic.com/19409017/r/il/321221/2624802807/il_fullxfull.2624802807_3e6v.jpg,https://i.etsystatic.com/19409017/r/il/d91293/2624802615/il_fullxfull.2624802615_h420.jpg,https://i.etsystatic.com/19409017/r/il/e39b2a/2577148070/il_fullxfull.2577148070_7pks.jpg,Size,Size,"4x6,5x8.25,7.54x9.75",Colour,"Primary colour","Bronze,Red,Purple,Green,Grey,Gold,Black,Bordeaux,Brown,Silver,Blue","1gwLVVwmQVkod5zZ,ONoRaDN2wnrb0LP9v,nE5wYQNwRxnL47jo,aY7zQ4r8YNJoaLl7,LNVdQR8g50bpXWQ4j,5p8dlNP4kLvl3Pwq,7w2zpxNrjVJvZrygj,jEoWp4DaZ0M602NjD,790W2rQPWJqlb1yP,Wjqr67YwYlYgJzVD,NnNDaMRkDL5xlkz2,0an6DQd6jmo6zQgao,ro6qg1Rl7bWYE01k,zb948k1bQ5mvj307,QxONxDV27YRN1q7A,L1EOp7WbanLo8m3Lj,WpqELxV25mEVxb1J,Dv7Ag3o7wy5mnYz8,1Wd2R919R620xMa0,orWnpv7DpXlmOWjQ,ONnEzn8vQz1M277rp,04Exzg5jl9YlvjbQ,Dvbv72p1A97Q4PRY,ZlzLJJD2nzEwJYl0,xwNmNR29PRr8l3vR,0aJ5OdXya8xLQ738w,4E0D3Ep1AgrjrJ6n,LRpX6vb8D3x3NgMr,8y5qrZkaygPl4M0o,6NpLaZlZVW3d1dxj,P1xqMwym8vrz4QNpD,LXQmPrJEgrgk15jb,ZnLoXpO2DmwRVDq6"
"Father’s Day Leather Bookmark with Custom Text","Hand-dyed 3oz Veg-tanned leather bookmark with a Golf motif on the top. It is 16 cm long and 3.5 cm wide. You can engrave a name or text on the bookmark.",25,CAD,38,"fathers_day,father,dad,grandpa,new_moon_Technocraft,custom_bookmark,books,book_accessories,leather_book_mark,leather_bookmark,bookmark,gifts,personalize_gift",,https://i.etsystatic.com/19409017/r/il/681a0f/3130493929/il_fullxfull.3130493929_4zrm.jpg,https://i.etsystatic.com/19409017/r/il/b57a1d/3130493733/il_fullxfull.3130493733_bguh.jpg,https://i.etsystatic.com/19409017/r/il/918a0c/3082765482/il_fullxfull.3082765482_mf7j.jpg,https://i.etsystatic.com/19409017/r/il/167aa9/3130494135/il_fullxfull.3130494135_hmcc.jpg,https://i.etsystatic.com/19409017/r/il/2b3ceb/3130494217/il_fullxfull.3130494217_13ud.jpg,https://i.etsystatic.com/19409017/r/il/962e62/3130494377/il_fullxfull.3130494377_qm6o.jpg,,,,,,,,,,,
